Date,UK,growth,base
09/03/2020,50,0,1
10/03/2020,52,1.04,1
11/03/2020,83,1.59,1
12/03/2020,139,1.67,1
13/03/2020,207,1.49,1
14/03/2020,264,1.28,1
15/03/2020,330,1.25,1
16/03/2020,152,0.46,1
17/03/2020,407,2.67,1
18/03/2020,676,1.66,1
19/03/2020,643,0.95,1
20/03/2020,714,1.11,1
21/03/2020,1035,1.45,1
22/03/2020,665,0.64,1
23/03/2020,967,1.45,1
24/03/2020,1427,1.48,1
25/03/2020,1452,1.02,1
26/03/2020,2129,1.47,1
27/03/2020,2885,1.36,1
28/03/2020,2546,0.88,1
29/03/2020,2433,0.96,1
30/03/2020,2619,1.08,1
31/03/2020,3009,1.15,1
01/04/2020,4324,1.44,1
02/04/2020,4244,0.98,1
03/04/2020,4450,1.05,1
04/04/2020,3735,0.84,1
05/04/2020,5914,1.58,1
06/04/2020,3802,0.64,1
07/04/2020,3634,0.96,1
08/04/2020,5491,1.51,1
09/04/2020,4344,0.79,1
10/04/2020,5195,1.20,1
11/04/2020,5234,1.01,1