Date,England,Scotland,Wales,Northern Ireland,UK
09/03/2020,280,0,0,0,280
10/03/2020,324,27,6,16,373
11/03/2020,387,36,15,18,456
12/03/2020,491,60,25,19,595
13/03/2020,645,85,38,29,797
14/03/2020,925,121,60,34,1140
15/03/2020,1099,153,94,45,1391
16/03/2020,1196,171,124,52,1543
17/03/2020,1557,195,136,62,1950
18/03/2020,2182,227,149,68,2626
19/03/2020,2756,266,170,77,3269
20/03/2020,3384,322,191,86,3983
21/03/2020,4257,373,280,108,5018
22/03/2020,4792,416,347,128,5683
23/03/2020,5585,499,418,148,6650
24/03/2020,6843,584,478,172,8077
25/03/2020,7973,719,628,209,9529
26/03/2020,9782,894,741,241,11658
27/03/2020,12288,1059,921,275,14543
28/03/2020,14427,1245,1093,324,17089
29/03/2020,16487,1384,1241,410,19522
30/03/2020,18594,1563,1451,533,22141
31/03/2020,21008,1993,1563,586,25150
01/04/2020,24638,2310,1837,689,29474
02/04/2020,28221,2602,2121,774,33718
03/04/2020,31797,3001,2466,904,38168
04/04/2020,34707,3345,2853,998,41903
05/04/2020,39814,3706,3197,1089,47806
06/04/2020,42990,3961,3499,1158,51608
07/04/2020,45968,4229,3790,1255,55242
08/04/2020,50756,4565,4073,1339,60733
09/04/2020,54554,4957,4089,1477,65077
10/04/2020,58817,5275,4591,1589,73758
11/04/2020,62658,5590,4930,1717,78991